Technological Complexity,Staff Expertise,Project Size,Requirements Quality,Stakeholder Management,Market Conditions,Project Management Quality,Project Success
Medium,Beginner,Very Large,Poor,Average,Unfavorable,Good,Success
High,Beginner,Very Small,Average,Poor,Very Unfavorable,Average,Success
Medium,Beginner,Large,Average,Poor,Unfavorable,Excellent,Failure
Medium,Expert,Small,Below Average,Good,Very Unfavorable,Good,Success
Low,Novice,Very Small,Average,Good,Favorable,Very Poor,Success
High,Beginner,Very Small,Average,Good,Very Unfavorable,Very Poor,Failure
High,Intermediate,Small,Poor,Average,Favorable,Excellent,Success
Very Low,Expert,Very Small,Below Average,Below Average,Favorable,Good,Success
Very High,Novice,Large,Poor,Average,Favorable,Excellent,Success
High,Expert,Large,Excellent,Poor,Unfavorable,Average,Failure
High,Advanced,Large,Below Average,Good,Unfavorable,Excellent,Success
Very Low,Beginner,Very Large,Average,Excellent,Unfavorable,Very Poor,Failure
Very Low,Intermediate,Very Small,Below Average,Below Average,Neutral,Poor,Failure
Low,Novice,Large,Below Average,Average,Neutral,Good,Failure
Very High,Expert,Very Large,Excellent,Below Average,Very Favorable,Poor,Failure
Very High,Novice,Large,Poor,Excellent,Neutral,Very Poor,Failure
Low,Advanced,Large,Below Average,Good,Unfavorable,Poor,Failure
Very Low,Intermediate,Small,Below Average,Good,Neutral,Average,Failure
Very Low,Expert,Large,Good,Poor,Neutral,Poor,Failure
Very Low,Advanced,Large,Below Average,Average,Neutral,Excellent,Failure
High,Intermediate,Large,Poor,Poor,Very Favorable,Very Poor,Failure
Very High,Beginner,Large,Good,Below Average,Favorable,Good,Success
Very High,Novice,Large,Average,Excellent,Unfavorable,Very Poor,Failure
Medium,Advanced,Medium,Average,Excellent,Unfavorable,Excellent,Success
Medium,Novice,Medium,Below Average,Poor,Very Favorable,Very Poor,Failure
High,Novice,Very Large,Poor,Poor,Very Unfavorable,Poor,Failure
High,Advanced,Very Large,Below Average,Below Average,Favorable,Poor,Success
Very High,Advanced,Very Large,Average,Good,Very Favorable,Average,Success
Medium,Expert,Medium,Below Average,Excellent,Unfavorable,Excellent,Success
Low,Intermediate,Very Large,Below Average,Poor,Neutral,Excellent,Failure
Very Low,Beginner,Small,Average,Excellent,Very Favorable,Good,Success
Very High,Intermediate,Very Small,Average,Good,Very Unfavorable,Good,Failure
Low,Beginner,Small,Good,Excellent,Very Favorable,Good,Success
High,Beginner,Very Small,Good,Good,Very Unfavorable,Excellent,Success
Very Low,Expert,Very Small,Poor,Good,Very Favorable,Average,Success
High,Intermediate,Large,Poor,Average,Very Unfavorable,Good,Failure
Medium,Advanced,Very Large,Average,Below Average,Very Favorable,Poor,Failure
Low,Novice,Very Small,Poor,Excellent,Very Unfavorable,Good,Success
Very Low,Expert,Large,Poor,Good,Very Unfavorable,Good,Success
Very Low,Expert,Small,Good,Excellent,Very Favorable,Excellent,Success
High,Expert,Large,Average,Poor,Unfavorable,Very Poor,Failure
Very High,Advanced,Very Small,Good,Below Average,Very Favorable,Very Poor,Failure
Low,Novice,Large,Below Average,Below Average,Unfavorable,Poor,Failure
Very Low,Beginner,Large,Average,Poor,Very Unfavorable,Good,Failure
Very Low,Advanced,Small,Excellent,Poor,Very Favorable,Poor,Failure
Medium,Intermediate,Small,Poor,Excellent,Very Unfavorable,Poor,Success
Low,Intermediate,Very Small,Poor,Average,Unfavorable,Good,Failure
Low,Advanced,Large,Average,Excellent,Very Favorable,Poor,Success
Very Low,Expert,Medium,Excellent,Excellent,Very Favorable,Poor,Success
Low,Advanced,Large,Average,Good,Very Favorable,Average,Success
Low,Novice,Very Small,Poor,Excellent,Favorable,Poor,Failure
Very Low,Beginner,Medium,Poor,Below Average,Unfavorable,Very Poor,Failure
Very Low,Beginner,Large,Average,Average,Very Unfavorable,Average,Failure
High,Beginner,Small,Below Average,Poor,Very Unfavorable,Excellent,Success
High,Beginner,Very Small,Good,Below Average,Very Favorable,Good,Success
High,Expert,Large,Average,Poor,Neutral,Excellent,Failure
High,Intermediate,Small,Below Average,Good,Neutral,Good,Failure
Low,Intermediate,Very Small,Excellent,Excellent,Favorable,Average,Success
Medium,Advanced,Medium,Poor,Good,Very Unfavorable,Excellent,Success
Very Low,Beginner,Medium,Poor,Poor,Very Favorable,Very Poor,Failure
Very Low,Intermediate,Very Small,Average,Excellent,Favorable,Poor,Failure
Very High,Novice,Small,Excellent,Excellent,Very Favorable,Good,Success
Medium,Advanced,Medium,Average,Good,Very Unfavorable,Excellent,Success
Medium,Expert,Very Small,Good,Poor,Neutral,Good,Failure
Very Low,Intermediate,Large,Average,Average,Unfavorable,Poor,Failure
Medium,Beginner,Very Small,Poor,Good,Unfavorable,Average,Failure
Very High,Expert,Very Small,Poor,Below Average,Very Favorable,Average,Success
